3, 266, Note_on_c, 0, 77, 0
3, 271, Note_on_c, 0, 77, 45
3, 273, Note_on_c, 0, 79, 0
3, 276, Note_on_c, 0, 76, 48
3, 278, Note_on_c, 0, 77, 0
3, 282, Note_on_c, 0, 77, 43
3, 284, Note_on_c, 0, 76, 0
3, 288, Note_on_c, 0, 81, 45
3, 290, Note_on_c, 0, 77, 0
3, 324, Note_on_c, 0, 79, 48
3, 326, Note_on_c, 0, 81, 0
3, 336, Note_on_c, 0, 82, 42
3, 338, Note_on_c, 0, 79, 0
3, 372, Note_on_c, 0, 79, 45
3, 374, Note_on_c, 0, 82, 0
3, 384, Note_on_c, 0, 77, 48
3, 386, Note_on_c, 0, 79, 0
3, 444, Note_on_c, 0, 76, 52
3, 446, Note_on_c, 0, 77, 0
3, 456, Note_on_c, 0, 79, 45
3, 458, Note_on_c, 0, 76, 0
3, 468, Note_on_c, 0, 76, 47
3, 470, Note_on_c, 0, 79, 0
3, 480, Note_on_c, 0, 72, 42
3, 482, Note_on_c, 0, 76, 0
3, 528, Note_on_c, 0, 72, 0
3, 552, Note_on_c, 0, 72, 55
